"prefcode","prefname","capEng","prefJap","region"
1,"Hokkaido","Sapporo","北海道","Hokkaido"
2,"Aomori","Aomori","青森","Tohoku"
3,"Iwate","Morioka","岩手","Tohoku"
4,"Miyagi","Sendai","宮城","Tohoku"
5,"Akita","Akita","秋田","Tohoku"
6,"Yamagata","Yamagata","山形","Tohoku"
7,"Fukushima","Fukushima","福島","Tohoku"
8,"Ibaraki","Mito","茨城","Kanto/Koshin"
9,"Tochigi","Utsunomiya","栃木","Kanto/Koshin"
10,"Gunma","Maebashi","群馬","Kanto/Koshin"
11,"Saitama","Saitama","埼玉","Kanto/Koshin"
12,"Chiba","Chiba","千葉","Kanto/Koshin"
13,"Tokyo","Tokyo","東京","Kanto/Koshin"
14,"Kanagawa","Yokohama","神奈川","Kanto/Koshin"
15,"Niigata","Niigata","新潟","Hokuriku"
16,"Toyama","Toyama","富山","Hokuriku"
17,"Ishikawa","Kanazawa","石川","Hokuriku"
18,"Fukui","Fukui","福井","Hokuriku"
19,"Yamanashi","Kofu","山梨","Kanto/Koshin"
20,"Nagano","Nagano","長野","Kanto/Koshin"
21,"Gifu","Gifu","岐阜","Tokai"
22,"Shizuoka","Shizuoka","静岡","Tokai"
23,"Aichi","Nagoya","愛知","Tokai"
24,"Mie","Tsu","三重","Tokai"
25,"Shiga","Otsu","滋賀","Kinki"
26,"Kyoto","Kyoto","京都","Kinki"
27,"Osaka","Osaka","大阪","Kinki"
28,"Hyogo","Kobe","兵庫","Kinki"
29,"Nara","Nara","奈良","Kinki"
30,"Wakayama","Wakayama","和歌山","Kinki"
31,"Tottori","Tottori","鳥取","Chugoku"
32,"Shimane","Matsue","島根","Chugoku"
33,"Okayama","Okayama","岡山","Chugoku"
34,"Hiroshima","Hiroshima","広島","Chugoku"
35,"Yamaguchi","Yamaguchi","山口","Kyushu(North)"
36,"Tokushima","Tokushima","徳島","Shikoku"
37,"Kagawa","Takamatsu","香川","Shikoku"
38,"Ehime","Matsuyama","愛媛","Shikoku"
39,"Kochi","Kochi","高知","Shikoku"
40,"Fukuoka","Fukuoka","福岡","Kyushu(North)"
41,"Saga","Saga","佐賀","Kyushu(North)"
42,"Nagasaki","Nagasaki","長崎","Kyushu(North)"
43,"Kumamoto","Kumamoto","熊本","Kyushu(North)"
44,"Oita","Oita","大分","Kyushu(North)"
45,"Miyazaki","Miyazaki","宮崎","Kyushu(South)"
46,"Kagoshima","Kagoshima","鹿児島","Kyushu(South)"
47,"Okinawa","Naha","沖縄","Okinawa"
